,nom_film,type_production,theme_production,Synopsis,Realisateur,duree_film,sortie_film,acteurs_principaux,charts,rang,charts_IMDB,charts_METACRITIC,other_details
6,Grave,Film,['Épouvante-Horreur'],"Dans la famille de Justine tout le monde est vétérinaire et végétarien. À 16 ans, elle est une adolescente surdouée sur le point d’intégrer l’école véto où sa sœur ainée est également élève. Mais, à peine installés, le bizutage commence pour les premières années. On force Justine à manger de la... Lire la suite",['Julia Ducournau'],1 h 39 min,15 mars 2017,"['Garance Marillier', ' Ella Rumpf', ' Rabah Naït Oufella']","{'note_moyenne': 7.0, 'nombre_critiques': 28149, 'repartition_note': [255, 315, 553, 1026, 1811, 3934, 7908, 7801, 3408, 1138]}",7,"['7,0', '60 186']",81,"{'budget': 'EUR3,500,000', 'Cumulative_WW_Gross': '$3,096,815', 'location': 'France | Belgium | Italy'}"
7,Au revoir là-haut,Film,['Comédie dramatique'],"Novembre 1919. Deux rescapés des tranchées, l'un dessinateur de génie, l'autre modeste comptable, décident de monter une arnaque aux monuments aux morts.",['Albert Dupontel'],1 h 57 min,25 octobre 2017,"['Nahuel Pérez Biscayart', ' Albert Dupontel', ' Laurent Lafitte']","{'note_moyenne': 7.5, 'nombre_critiques': 27428, 'repartition_note': [47, 54, 145, 352, 961, 2812, 7713, 9848, 4235, 1261]}",8,"['7,5', '8 025']",Reviews,"{'budget': 'EUR19,750,000', 'Cumulative_WW_Gross': '$16,094,346', 'location': 'France | Canada'}"
8,Coco,Long-métrage d'animation,"['Animation', ' aventure', ' comédie']","Un jeune garçon trouve le moyen de pénétrer dans le royaume des morts. Cependant, il doit retrouver le fantôme d'un célèbre musicien pour espérer retourner dans le monde des vivants.","['Lee Unkrich', 'Adrian Molina']",1 h 45 min,22 novembre 2017,"['Anthony Gonzalez', ' Gael García Bernal', ' Benjamin Bratt']","{'note_moyenne': 7.7, 'nombre_critiques': 31460, 'repartition_note': [78, 46, 94, 210, 699, 2383, 7326, 11836, 6228, 2560]}",9,"['8,4', '380 194']",81,"{'budget': '$175,000,000', 'Cumulative_WW_Gross': '$807,817,888', 'location': 'USA'}"
9,120 battements par minute,Film,['Drame'],"Début des années 90. Alors que le sida tue depuis près de dix ans, les militants d'Act Up-Paris multiplient les actions pour lutter contre l'indifférence générale. Nouveau venu dans le groupe, Nathan va être bouleversé par Sean qui consume ses dernières forces dans l'action.",['Robin Campillo'],2 h 23 min,23 août 2017,"['Nahuel Pérez Biscayart', ' Arnaud Valois', ' Adèle Haenel']","{'note_moyenne': 7.4, 'nombre_critiques': 23409, 'repartition_note': [79, 78, 172, 364, 933, 2450, 5819, 7756, 4161, 1597]}",10,"['7,4', '13 367']",84,"{'budget': 'EUR5,383,899', 'Cumulative_WW_Gross': '$7,704,369', 'location': 'France'}"
10,Split,Film,"['Thriller', 'Épouvante-horreur']","Kevin a manifesté 23 personnalités devant son psychiatre de longue date, le Dr Fletcher mais il en reste une, immergée, qui commence à se matérialiser et à dominer toutes les autres. Contraint d'enlever trois adolescentes, dont la jeune Casey, Kevin se bat pour survivre parmi tous ceux qui... Lire la suite",['M. Night Shyamalan'],1 h 57 min,26 septembre 2016,"['James McAvoy', ' Anya Taylor-Joy', ' Betty Buckley']","{'note_moyenne': 6.8, 'nombre_critiques': 44223, 'repartition_note': [124, 213, 609, 1440, 3376, 8836, 15578, 10197, 2984, 866]}",11,"['7,3', '422 208']",62,"{'budget': '$9,000,000', 'Cumulative_WW_Gross': '$278,454,417', 'location': 'USA | Japan'}"
11,The Lost City of Z,Film,"['Aventure', ' biopic', ' drame']","L’histoire vraie de Percival Harrison Fawcett, un des plus grands explorateurs du XXe siècle. Percy Fawcett est un colonel britannique reconnu et un mari aimant. En 1906, alors qu’il s’apprête à devenir père, la Société géographique royale d'Angleterre lui propose de partir en Amazonie afin de cartographier les frontières entre le Brésil et la Bolivie. Sur place, l’homme se prend de passion pour l’exploration et découvre des traces de ce qu’il pense être une cité perdue très ancienne. De retour en Angleterre, Fawcett n’a de cesse de penser à cette mystérieuse civilisation, tiraillé entre son amour pour sa famille et sa soif d’exploration et de gloire…",['James Gray'],2 h 21 min,15 mars 2017,"['Charlie Hunnam', ' Robert Pattinson', ' Sienna Miller']","{'note_moyenne': 7.0, 'nombre_critiques': 18902, 'repartition_note': [37, 64, 190, 531, 1512, 3859, 6703, 4547, 1178, 281]}",12,"['6,6', '79 177']",78,"{'budget': '$30,000,000', 'Cumulative_WW_Gross': '$19,263,938', 'location': 'USA'}"
12,Moonlight,Film,['Drame'],"Dans le Miami des années 80 en proie à la drogue, Moonlight se concentre sur trois moments de la vie de Chiron, un jeune homme qui se bat contre une vie familiale rude et sa sexualité naissante.",['Barry Jenkins'],1 h 50 min,18 novembre 2016,"['Alex R. Hibbert', ' Ashton Sanders', ' Trevante Rhodes']","{'note_moyenne': 7.1, 'nombre_critiques': 25745, 'repartition_note': [51, 80, 223, 522, 1480, 3970, 8219, 7523, 2832, 845]}",13,"['7,4', '272 466']",99,"{'budget': '$4,000,000', 'Cumulative_WW_Gross': '$65,336,603', 'location': 'USA'}"
13,Okja,Film,"['Action', ' aventure', ' drame']","Une petite fille devient ami avec un cochon fabriqué génétiquement appelé Okja. Mais lorsque la taille du cochon prend des proportions gigantesques, la multinationale responsable de sa création décide de le prendre, forçant la petite fille maintenant adolescente à partir en mission afin de le retrouver.",['Bong Joon-ho'],2 h,28 juin 2017,"['Ahn Seo-Hyun', ' Tilda Swinton', ' Jake Gyllenhaal']","{'note_moyenne': 7.1, 'nombre_critiques': 25753, 'repartition_note': [71, 111, 250, 649, 1502, 4234, 8548, 7285, 2368, 735]}",14,"['7,3', '104 257']",75,"{'budget': '$50,000,000', 'Cumulative_WW_Gross': '$2,049,823', 'location': 'South Korea | USA'}"
14,Nocturnal Animals,Film,"['Drame', 'thriller']","Susan Morrow, une galeriste d’art de Los Angeles, s’ennuie dans l’opulence de son existence, délaissée par son riche mari Hutton. Alors que ce dernier s’absente, encore une fois, en voyage d’affaires, Susan reçoit un colis inattendu : un manuscrit signé de son ex-mari Edward Sheffield dont elle est sans nouvelles depuis des années. Une note l’accompagne, enjoignant la jeune femme à le lire puis à le contacter lors de son passage en ville. Seule dans sa maison vide, elle entame la lecture de l’oeuvre qui lui est dédicacée.",['Tom Ford'],1 h 56 min,4 novembre 2016,"['Amy Adams', ' Jake Gyllenhaal', ' Michael Shannon']","{'note_moyenne': 7.0, 'nombre_critiques': 19041, 'repartition_note': [90, 116, 234, 557, 1268, 3190, 6211, 5446, 1567, 362]}",15,"['7,5', '237 674']",67,"{'budget': '$22,500,000', 'Cumulative_WW_Gross': '$30,311,857', 'location': 'USA'}"
15,Star Wars : Les Derniers Jedi,Film,"['Action', ' aventure', 'science-fiction']",Les héros du Réveil de la force rejoignent les figures légendaires de la galaxie dans une aventure épique qui révèle des secrets ancestraux sur la Force et entraîne de surprenantes révélations sur le passé…,['Rian Johnson'],2 h 32 min,13 décembre 2017,"['Daisy Ridley', ' Adam Driver', ' John Boyega']","{'note_moyenne': 6.0, 'nombre_critiques': 40006, 'repartition_note': [874, 963, 1918, 3377, 5489, 8730, 9858, 6089, 1908, 800]}",16,"['7,0', '563 091']",84,"{'budget': '$317,000,000', 'Cumulative_WW_Gross': '$1,332,697,499', 'location': 'USA'}"
16,Les Gardiens de la galaxie Vol. 2,Film,"['Action', ' science-fiction', ' comédie']",Les Gardiens de la galaxie Vol. 2 nous entraîne dans la suite des aventures de cette drôle de bande de mercenaires aux confins du cosmos. Les Gardiens vont cette fois devoir lutter pour rester unis lorsqu’ils percent le mystère de la véritable filiation de Star-Lord.,['James Gunn'],2 h 17 min,26 avril 2017,"['Chris Pratt', ' Zoe Saldana', ' Dave Bautista']","{'note_moyenne': 6.5, 'nombre_critiques': 35797, 'repartition_note': [183, 314, 700, 1546, 3522, 7922, 11589, 7138, 2106, 777]}",17,"['7,6', '567 713']",67,"{'budget': '$200,000,000', 'Cumulative_WW_Gross': '$863,756,051', 'location': 'USA'}"
17,Mother!,Film,"['Drame', ' Épouvante-horreur', 'thriller']",La relation d'un couple est mise en péril quand l'arrivée d'invités inattendus vient perturber leur quotidien.,['Darren Aronofsky'],2 h 01 min,15 septembre 2017,"['Jennifer Lawrence', ' Javier Bardem', ' Ed Harris']","{'note_moyenne': 6.4, 'nombre_critiques': 15487, 'repartition_note': [386, 450, 750, 1053, 1692, 2541, 3441, 3130, 1496, 548]}",18,"['6,6', '190 663']",75,"{'budget': '$30,000,000', 'Cumulative_WW_Gross': '$44,516,999', 'location': 'USA'}"
18,La Planète des singes : Suprématie,Film,"['Action', ' aventure', ' drame']","Dans ce volet final de la trilogie, César, à la tête des Singes, doit défendre les siens contre une armée humaine prônant leur destruction. L’issue du combat déterminera non seulement le destin de chaque espèce, mais aussi l’avenir de la planète.",['Matt Reeves'],2 h 20 min,14 juillet 2017,"['Andy Serkis', ' Woody Harrelson', ' Steve Zahn']","{'note_moyenne': 6.7, 'nombre_critiques': 20452, 'repartition_note': [86, 205, 442, 901, 2068, 4450, 6202, 4221, 1432, 445]}",19,"['7,4', '227 189']",82,"{'budget': '$150,000,000', 'Cumulative_WW_Gross': '$490,719,763', 'location': 'USA | Canada | New Zealand'}"
19,Quelques minutes après minuit,Film,"['Drame', 'fantastique']","Conor a de plus en plus de difficultés à faire face à la maladie de sa mère, à l’intimidation de ses camarades et à la fermeté de sa grand-mère. Chaque nuit, pour fuir son quotidien, il s’échappe dans un monde imaginaire peuplé de créatures extraordinaires. Mais c’est pourtant là qu’il va apprendre le courage, la valeur du chagrin et surtout affronter la vérité…",['J. A. Bayona'],1 h 48 min,7 octobre 2016,"['Lewis MacDougall', ' Sigourney Weaver', ' Felicity Jones']","{'note_moyenne': 7.2, 'nombre_critiques': 9753, 'repartition_note': [32, 36, 96, 240, 575, 1604, 3011, 2744, 1028, 387]}",20,"['7,5', '80 754']",76,"{'budget': '$43,000,000', 'Cumulative_WW_Gross': '$47,309,313', 'location': 'UK | Spain | USA'}"
20,Good Time,Film,"['Policier', ' drame', 'thriller']","Un braquage qui tourne mal… Connie réussit à s'enfuir mais son frère Nick est arrêté. Alors que Connie tente de réunir la caution pour libérer son frère, une autre option s'offre à lui : le faire évader. Commence alors dans les bas-fonds de New York, une longue nuit sous adrénaline.","['Joshua Safdie', 'Benny Safdie']",1 h 41 min,11 août 2017,"['Robert Pattinson', ' Benny Safdie', ' Buddy Duress']","{'note_moyenne': 7.1, 'nombre_critiques': 10743, 'repartition_note': [27, 39, 98, 219, 613, 1781, 3842, 3068, 856, 200]}",21,"['7,4', '89 443']",80,"{'budget': '$4,500,000', 'Cumulative_WW_Gross': '$3,283,369', 'location': 'USA'}"
21,A Ghost Story,Film,"['Drame', ' fantastique', 'romance']","Apparaissant sous un drap blanc, le fantôme d'un homme rend visite à sa femme en deuil dans leur maison de banlieue, pour y découvrir que dans ce nouvel état spectral le temps n'a plus d'emprise sur lui, condamné à n’être plus que simple spectateur de la vie qui fut la sienne.",['David Lowery'],1 h 32 min,7 juillet 2017,"['Casey Affleck', ' Rooney Mara', ' McColm Cephas Jr.']","{'note_moyenne': 6.8, 'nombre_critiques': 9447, 'repartition_note': [109, 155, 270, 415, 786, 1366, 2285, 2393, 1189, 479]}",22,"['6,9', '60 765']",84,"{'budget': '$100,000', 'Cumulative_WW_Gross': '$1,951,683', 'location': 'USA'}"
22,Lion,Film,"['Drame', ' aventure', 'biopic']","Adapté du récit autobiographique de Saroo Brierley. Au milieu des années 80 en Inde, Saroo vit dans la plus extrême pauvreté. Séparé de ses parents, il est recueilli par une famille australienne. Devenu adulte, Saroo décide de retrouver la trace de sa mère.",['Garth Davis'],2 h 09 min,24 novembre 2016,"['Dev Patel', ' Rooney Mara', ' Nicole Kidman']","{'note_moyenne': 7.3, 'nombre_critiques': 20821, 'repartition_note': [34, 64, 130, 312, 869, 2353, 5526, 6718, 3446, 1369]}",23,"['8,0', '213 111']",69,"{'budget': '$12,000,000', 'Cumulative_WW_Gross': '$140,312,928', 'location': 'UK | Australia | USA'}"
23,Ça,Film,"['Drame', ' fantastique', ' Épouvante-horreur']","Plusieurs disparitions d'enfants sont signalées dans la petite ville de Derry, dans le Maine. Au même moment, une bande d'adolescents doit affronter un clown maléfique et tueur, du nom de Grippe-sou, qui sévit depuis des siècles. Ils vont connaître leur plus grande terreur…",['Andy Muschietti'],2 h 15 min,7 septembre 2017,"['Bill Skarsgård', ' Jaeden Martell', ' Finn Wolfhard']","{'note_moyenne': 6.4, 'nombre_critiques': 24398, 'repartition_note': [256, 353, 724, 1435, 2854, 5486, 7545, 3993, 1042, 710]}",24,"['7,3', '458 190']",69,"{'budget': '$35,000,000', 'Cumulative_WW_Gross': '$701,796,444', 'location': 'USA | Canada'}"
24,Silence,Film,"['Aventure', ' drame', 'historique']","Au XVII° siècle, deux prêtres jésuites se rendent au Japon pour retrouver leur mentor, le père Ferreira, disparu alors qu'il tentait de répandre les enseignements du catholicisme. Au terme d'un dangereux voyage, ils découvrent un pays où le christianisme est décrété illégal et ses fidèles persécutés. Ils devront mener dans la clandestinité cette quête périlleuse qui confrontera leur foi aux pires épreuves.",['Martin Scorsese'],2 h 41 min,22 décembre 2016,"['Andrew Garfield', ' Adam Driver', ' Liam Neeson']","{'note_moyenne': 6.6, 'nombre_critiques': 10682, 'repartition_note': [85, 123, 280, 613, 1236, 2369, 3019, 2056, 714, 187]}",25,"['7,2', '100 017']",79,"{'budget': '$46,000,000', 'Cumulative_WW_Gross': '$23,834,809', 'location': 'USA | UK | Taiwan | Japan | Mexico | Italy'}"
25,Detroit,Film,"['Policier', ' drame', ' historique']",Un drame policer se déroulant durant les émeutes de 1967 à Detroit.,['Kathryn Bigelow'],2 h 23 min,4 août 2017,"['John Boyega', ' Will Poulter', ' Algee Smith']","{'note_moyenne': 7.2, 'nombre_critiques': 9385, 'repartition_note': [20, 17, 73, 176, 421, 1133, 3186, 3219, 950, 190]}",26,"['7,3', '48 020']",77,"{'budget': '$34,000,000', 'Cumulative_WW_Gross': '$23,355,100', 'location': 'USA'}"
26,Wind River,Film,"['Thriller', ' drame', 'policier']","Cory Lambert est pisteur dans la réserve indienne de Wind River, perdue dans l’immensité sauvage du Wyoming. Lorsqu’il découvre le corps d’une femme en pleine nature, le FBI envoie une jeune recrue élucider ce meurtre. Fortement lié à la communauté amérindienne, il va l’aider à mener l’enquête dans ce milieu hostile, ravagé par la violence et l’isolement, où la loi des hommes s’estompe face à celle impitoyable de la nature…",['Taylor Sheridan'],1 h 50 min,4 août 2017,"['Jeremy Renner', ' Elizabeth Olsen', ' Graham Greene']","{'note_moyenne': 7.1, 'nombre_critiques': 9985, 'repartition_note': [9, 25, 81, 170, 491, 1713, 3950, 2862, 560, 124]}",27,"['7,7', '203 914']",73,"{'budget': '$11,000,000', 'Cumulative_WW_Gross': '$43,980,821', 'location': 'UK | Canada | USA'}"
27,Les Figures de l'ombre,Film,"['Drame', 'biopic']","Le destin extraordinaire des trois scientifiques afro-américaines qui ont permis aux Etats-Unis de prendre la tête de la conquête spatiale, grâce à la mise en orbite de l’astronaute John Glenn. Maintenues dans l’ombre de leurs collègues masculins et dans celle d’un pays en proie à de profondes... Lire la suite",['Theodore Melfi'],2 h 07 min,6 janvier 2017,"['Taraji P. Henson', ' Octavia Spencer', ' Janelle Monáe']","{'note_moyenne': 7.1, 'nombre_critiques': 14681, 'repartition_note': [34, 29, 74, 226, 617, 2152, 5319, 4282, 1471, 477]}",28,"['7,8', '199 962']",74,"{'budget': '$25,000,000', 'Cumulative_WW_Gross': '$235,956,898', 'location': 'USA'}"
28,Wonder Woman,Film,"['Action', ' aventure', ' fantastique']","Avant d'être Wonder Woman, elle s'appelait Diana, princesse des Amazones, entraînée pour être une guerrière impossible à conquérir. Elle est élevée sur une île isolée et paradisiaque, mais lorsqu'un pilote américain s'écrase sur leur rivage et annonce qu'un conflit à grande échelle fait rage dans... Lire la suite",['Patty Jenkins'],2 h 21 min,2 juin 2017,"['Gal Gadot', ' Chris Pine', ' Robin Wright']","{'note_moyenne': 5.8, 'nombre_critiques': 27722, 'repartition_note': [380, 617, 1332, 2485, 4495, 7187, 6876, 3096, 868, 386]}",29,"['7,4', '563 597']",76,"{'budget': '$149,000,000', 'Cumulative_WW_Gross': '$822,303,505', 'location': 'USA | UK'}"
29,The Square,Film,"['Comédie', 'drame']","Christian est un père divorcé qui aime consacrer du temps à ses deux enfants. Conservateur apprécié d’un musée d’art contemporain, il fait aussi partie de ces gens qui roulent en voiture électrique et soutiennent les grandes causes humanitaires. Il prépare sa prochaine exposition, intitulée « The Square », autour d’une installation incitant les visiteurs à l’altruisme et leur rappelant leur devoir à l’égard de leurs prochains. Mais il est parfois difficile de vivre en accord avec ses valeurs : quand Christian se fait voler son téléphone portable, sa réaction ne l’honore guère… Au même moment, l’agence de communication du musée lance une campagne surprenante pour The Square : l’accueil est totalement inattendu et plonge Christian dans une crise existentielle.",['Ruben Östlund'],2 h 22 min,25 août 2017,"['Claes Bang', ' Elisabeth Moss', ' Dominic West']","{'note_moyenne': 6.7, 'nombre_critiques': 10810, 'repartition_note': [85, 137, 259, 527, 951, 2033, 3249, 2542, 812, 215]}",30,"['7,2', '55 253']",73,"{'budget': None, 'Cumulative_WW_Gross': '$9,493,791', 'location': 'Sweden | Germany | France | Denmark | USA'}"
